P45985	Q14315
Q8IX07	Q13330
Q8IX07	Q09028
Q16695	O95931
Q16695	P83916
Q16695	P45973
Q07812	P12956
O00567	Q6P3W7
O00567	Q13610
O00567	Q71U36
O00567	P55209
O00567	P09651
O00567	P63267
O00567	P16402
O00567	Q99879
O00567	Q9Y2X3
O00567	Q9BVP2
O00567	P19338
O00567	P06748
O00567	P36578
O00567	P62701
O00567	P61313
O00567	P40429
O00567	P46781
O00567	P18621
O00567	P30050
O00567	P62249
P42566	P17302
Q9UNE7	P55036
Q9Y490	Q9HCE7
Q92993	P12004
Q96CS3	Q15369
Q96CS3	Q08380
Q96CS3	Q16531
Q96CS3	Q9H7D7
Q96CS3	O95071
Q9UNN5	P63208
Q9UNN5	Q9UKB1
Q9UNN5	Q53GT1
Q04323	Q8IWV8
Q04323	Q7Z6Z7
Q04323	O95155
Q92989	Q9P2I0
Q92989	Q16630
Q92989	Q8N684
Q96DB2	O75496
P04035	O15503
P49450	Q8NCD3
P49450	P27694
P49450	P06748
P68431	Q9Y2X0
Q13616	Q9NRD0
Q9NRD0	P62330
P62805	P21675
P51825	P55197
P51825	Q8TEK3
P51825	P24928
P51825	O94992
P26196	P51825
Q8TEK3	P51825
Q9BVP2	P54274
Q9NVN8	O14746
Q96PU4	P04637
Q96PU4	Q07820
Q96PU4	Q07812
Q96PU4	P35222
Q96PU4	P06239
Q96PU4	P56945
Q96PU4	P52333
Q96PU4	P08575
Q96PU4	P63208
Q96PU4	P14635
Q96PU4	P24864
P20248	Q96PU4
P06400	Q96PU4
Q92630	O95071
Q92630	P0DMV9
Q92630	Q9NQH7
Q92630	P11177
Q92630	P18124
Q92630	Q9BQE3
Q92630	Q13748
Q92630	P27694
Q92630	P17066
O75449	O95071
O95793	Q9BQ39
O95793	Q12906
O95793	P19338
O95793	O14576
O95793	Q12840
O95793	Q71U36
O95793	P62424
O95793	P62241
O95793	P61313
Q13547	O60477
Q9Y6K9	Q02246
Q16665	P05412
O43318	O00743
Q96B67	P16144
P30153	O15344
O15514	P24928
O15514	P30876
O15514	P19388
O15514	P62875
Q7Z434	Q14164
Q13616	Q9UKA1
Q9UKA1	P48200
O43567	P13473
O43567	P08962
P38398	P06401
Q9Y6K9	Q9UDY8
Q6MZP7	Q16254
Q5TKA1	Q52LA3
Q5TKA1	Q6MZP7
Q5TKA1	Q16254
Q96GY3	Q5TKA1
Q96GY3	Q52LA3
Q52LA3	Q5TKA1
Q08999	Q5TKA1
Q08999	Q52LA3
Q08999	Q15329
Q08999	Q14186
Q5TKA1	Q08999
Q5TKA1	Q14188
Q6MZP7	Q08999
Q6MZP7	Q14186
Q6MZP7	Q14188
P62805	Q16778
P62805	Q13547
Q92753	P48552
Q92753	P43686
P55055	P05408
P55055	Q9NX61
Q13133	Q9Y6Q9
Q13133	P48443
Q13133	Q9NXR8
Q96RI1	P04406
P11473	P48552
Q14994	P02794
P41235	P41235
P41235	Q92786
P41235	P48552
P41235	P01160
P41235	Q9NPJ4
Q14541	P48788
Q14541	P04406
Q14541	P30041
Q14541	O00165
Q14541	Q12796
Q14541	Q9NPJ4
Q14541	Q92905
P28702	P27816
P28702	P37231
P48443	P27816
P49116	P28702
P03372	P33316
P03372	Q12756
P11474	Q9UPN3
P62508	P33316
P04150	P02794
P10275	Q8NFH8
P10275	Q12756
P43354	P28702
Q92570	Q92905
Q9NYB0	P34932
Q9NYB0	Q9BSI4
P20339	Q8NEB9
Q8NEU8	O94776
Q8IW19	P09874
P49917	Q8IW19
P13010	Q8IW19
O75582	P68431
O75582	Q16778
P31946	P11021
P31946	P0CG48
P31946	Q8N1I0
P31946	Q9Y2U5
P31946	Q9Y2H1
P31946	Q99570
P31946	Q86X29
P31946	Q53ET0
P11387	P22626
P11387	P14866
P11387	Q15717
P11387	P46013
P11387	P46087
P11387	Q15233
P11387	Q15393
P11387	O75533
P11387	Q6P2Q9
P61981	P02768
P61981	Q07021
P61981	P49761
P61981	O43143
P61981	O00273
P61981	P31943
P61981	P0DMV8
P61981	P55081
P61981	P62995
P61981	P08670
P61981	Q13838
P61981	Q92974
P61981	Q9UJF2
P61981	P61962
P61981	P46937
P61981	Q15287
P61981	Q12802
P61981	Q9Y6A4
P61981	Q13595
P61981	Q8WUI4
P61981	Q96A72
P61981	Q32P44
P61981	Q8N9M5
P61981	O95232
P63104	P06733
P63104	Q15208
P63104	P0DMS8
P27348	P11142
P27348	Q13748
P27348	P0DMS8
Q04917	P41743
P41743	Q8TEW0
Q96L34	Q9Y4B5
Q96L34	Q7Z5Y7
Q96L34	Q92614
Q96L34	Q9BQG0
Q96L34	Q93009
Q8TEW0	Q8ND90
Q8TEW0	Q3V6T2
Q8TEW0	Q9UL42
Q15831	Q9H6T3
Q15831	P51784
Q15831	Q02241
Q04917	P61962
Q04917	Q02241
Q04917	Q8TEW0
Q04917	Q96F07
Q04917	P23258
Q04917	Q3V6T2
P63104	Q02241
P63104	Q8ND90
Q9BYG4	Q8TEW0
Q9BYG4	Q9BYG5
Q9NPB6	Q15334
Q9NPB6	Q96MX6
Q9NPB6	Q8TEW0
P41743	Q9BYG5
P41743	Q15334
P41743	P07900
P41743	Q9Y4G8
Q8ND90	Q8TEW0
Q9BYG4	Q9UL42
Q6R327	P85299
Q6R327	Q9BVC4
Q6R327	P68363
Q6R327	P61247
Q6R327	O95870
P85299	Q9BPZ7
Q9BPZ7	P85299
O60341	P17542
P01106	Q16531
P01106	Q8TEL6
Q8IWV8	Q9H832
O95229	P62633
O43683	O95071
O95229	Q13263
Q14008	Q14008
Q6P1M3	Q9NPB6
O95229	Q9C035
O95229	Q03188
O95229	Q9BZD4
Q14008	Q9P270
Q9H081	P02787
O43683	Q8NBT2
O14777	O14777
O95684	Q5VT06
O43683	Q96IY1
Q6PEY2	Q9UHV9
O95229	O60566
O60566	O60566
Q14008	Q13573
O95229	O14777
O95229	Q8NBT2
Q9H081	P02647
O95229	Q9P2E9
Q6PEY2	O15212
O43683	Q9BZD4
Q96FF9	Q96FF9
O95229	Q92841
Q6PEY2	P61758
Q6P1M3	Q6P1M3
Q6PEY2	O95831
P17542	P12980
Q92618	Q16695
O95071	P49841
P49841	O95071
Q9UBK2	Q969K3
Q6P3S6	Q13616
Q6P3S6	P63208
Q6P3S6	P62877
P04637	Q6P3S6
Q9NQC7	Q96J02
Q92793	O15350
Q96EB6	P11021
Q96EB6	P62807
Q96EB6	Q8IUE6
Q96EB6	P38646
Q96EB6	Q92769
Q96EB6	Q16787
Q96EB6	Q52LW3
Q96EB6	Q86YR7
Q96EB6	Q9HB65
Q96EB6	O43813
Q9NTG7	P14625
Q9NTG7	Q8N3K9
Q9NTG7	Q75T13
Q9NTG7	Q5UIP0
Q9NTG7	P38646
Q9NTG7	O95248
Q9NTG7	O95714
Q9NTG7	Q9UNY4
Q9NTG7	Q13884
Q9NTG7	P07919
P60484	Q14790
P60484	Q9UN86
P60484	O00451
P60484	Q16671
P60484	P52564
P60484	Q93074
P60484	P35556
P03372	O14686
P03372	P61964
P51692	P51692
P49798	O00522
Q5IJ48	P62805
P04179	Q9P275
Q12933	Q8IUC6
Q9Y4K3	Q8IUC6
Q9HCC9	P01133
Q9HCC9	P20339
Q9HCC9	P20338
Q9HCC9	P51149
Q15714	O15105
P31946	Q02750
Q02750	P36507
P56279	Q13315
Q9H160	Q9HCE7
Q9Y371	Q96J02
Q9Y5U4	Q16186
Q9Y5U4	Q9UNM6
Q9Y5U4	P15924
Q9Y5U4	P06733
Q9Y5U4	P62333
Q9Y5U4	P25787
Q9Y5U4	Q96CS3
Q9Y5U4	P17066
Q00987	P23297
Q00987	P26447
Q00987	P06703
Q00987	P04271
Q86YR5	Q93008
Q9Y5U4	P17980
Q9NVI1	Q8TAF3
Q15554	Q8IUQ4
Q9UDY8	Q92905
Q9BXL7	Q92905
Q13936	P55072
Q99814	P34932
P09923	Q13568
O15111	Q13568
P49407	Q99683
P42685	P60484
Q9UKV5	P00441
P07900	Q5S007
Q5S007	P07900
P46934	P0CG48
Q92830	Q9NZJ0
Q92830	Q13619
Q92830	O75717
O94966	P98170
P00533	O00459
P00533	P62316
P00533	P63104
P49757	P08151
Q13526	P46527
O95863	Q8N1E6
P32121	Q02750
P30556	P32121
P0DP23	P11233
P09429	P30101
O14920	Q00839
P67870	P25963
Q00839	O14920
Q9Y4K3	P42858
Q8IX03	Q9NRM7
Q99728	Q14683
Q99728	P40692
Q99728	O60934
O00232	O00232
O00232	O15371
P60228	Q9Y6Q9
P38398	Q92547
Q92878	Q99708
O14867	Q92547
Q99708	Q99728
P27361	P67775
Q13485	Q9UNE7
Q15796	Q9UNE7
P84022	Q9UNE7
O75477	O94905
P30260	P33981
Q9NRR5	P17302
P17302	Q9NRR5
P46934	Q15303
Q99558	Q13490
P12004	P04406
P12004	P04075
P12004	P06733
Q9HAU4	Q15797
P12004	Q07617
P12004	P08865
Q99933	P00519
P12004	P30613
P12004	P00338
P21127	P11473
Q99942	Q99942
O95639	Q9H0L4
Q9P2I0	Q9H0L4
P21757	Q9Y4K3
Q13616	Q00987
Q9UKB1	Q00987
P10827	P50613
P10828	Q13503
Q99942	Q86WV6
P20700	P14859
Q13887	Q9HAU4
Q04759	O43318
Q8N3Y1	P07900
Q8N3Y1	Q9UKT8
P61081	Q14999
Q15796	O00308
O15105	O00308
Q969H0	Q969H0
P05556	P08648
P08648	P05556
P0DP23	Q49A88
P0DP23	P04271
P0DP23	Q13200
P0DP23	Q01105
P0DP23	P30622
P0DP23	Q9P246
P0DP23	Q8IZ21
P0DP23	Q9NSI6
P0DP23	P50579
Q96EP1	Q14527
Q9NVW2	Q86U70
Q7Z6B7	P61586
Q96EY5	Q96B97
Q96EY5	Q9H7P6
Q9H7P6	Q96EY5
P03372	Q71U36
P84022	Q9UJU2
P04637	Q99466
Q9BVJ6	P04637
Q14494	Q969H0
Q13501	Q14145
Q12981	Q13501
O60832	Q6PI26
Q99497	Q07812
Q07817	Q99497
P00519	Q99933
Q7Z434	O00463
Q7Z434	Q9Y6K9
P01903	P14618
Q30154	P14618
P04229	P07900
Q30154	P07900
P04229	P11142
P01903	P50995
P01903	P08238
Q99459	Q01082
Q99459	O60341
Q99459	Q9UPV9
Q99459	Q03001
Q99459	Q9Y4E5
Q99459	Q96JN2
Q9NRI5	Q01082
Q9NRI5	P62873
Q9NRI5	Q5SW79
Q9NRI5	O95376
Q9NRI5	O43295
Q9NRI5	O14709
Q9NRI5	Q9NV70
Q9NRI5	Q8IYX8
Q9NRI5	Q13885
Q9NRI5	O60216
Q9NRI5	O95271
Q9NRI5	P63104
Q9NRI5	Q9UQE7
Q9NRI5	Q9UNH7
Q9NRI5	Q99615
Q9NRI5	Q8IY31
Q9NRI5	Q7Z3B3
Q9NRI5	P43034
Q9NRI5	P62258
Q9NRI5	Q9UBB9
Q96EV8	Q8NFP9
Q96EV8	Q9C026
Q96EV8	P61289
Q96EV8	Q9NX95
Q96EV8	Q9BZD4
Q96MT8	Q01082
Q96MT8	Q9UPN3
Q96MT8	Q14094
Q96MT8	Q96A65
Q96MT8	Q8TF05
Q96MT8	P08621
Q8TDR0	Q9NYB9
Q8TDR0	Q567U6
Q8TDR0	Q13439
Q8TDR0	Q9NV70
Q9GZM8	O60229
Q9GZM8	Q8NF91
Q9GZM8	P21506
Q9GZM8	Q13398
Q9GZM8	Q05481
Q9Y6J0	P27348
O00141	Q6R327
Q6R327	P62877
Q9HAU4	P00533
Q5TGZ0	O75431
Q5TGZ0	P31150
Q5TGZ0	Q9NVH1
Q5TGZ0	P23258
Q5TGZ0	Q07021
P61586	Q03135
Q9NV70	Q99459
Q9NV70	Q567U6
Q9NV70	O60341
Q9NV70	Q9BZD4
Q9NV70	Q9UPN3
Q9NV70	Q12840
Q9NV70	Q7Z3B3
O60239	O95271
O60239	Q07889
Q9UKE5	Q07889
Q9UKE5	Q5VU43
Q9UKE5	Q01484
Q9UKE5	Q16555
Q9UKE5	P63261
P49841	P16989
Q96T58	Q13363
Q9NY61	O96017
Q9NY61	Q04206
Q16539	P52564
P49790	P27361
Q9BZE0	O43251
Q9BZE0	P26368
Q9BZE0	Q9H4A3
P0C1Z6	Q96CJ1
P10276	Q71SY5
Q71SY5	P10827
Q71SY5	P04150
Q71SY5	P10276
Q8IYU2	P07998
Q13618	Q9Y6Q9
Q05397	O14543
O14543	Q05397
Q96DX5	P12277
P12532	Q96DX5
P12532	Q96DX5
Q8WY64	P51668
Q92560	Q16777
Q9Y4K3	Q13107
P48551	P48551
O43164	P10644
P13861	O43164
P10644	O43164
P21580	Q92985
Q92985	P21580
Q92985	P19474
P45983	O75928
O75317	Q9BQA1
O75317	Q16778
Q04323	Q99728
O14964	P37088
Q9UM47	Q9Y3F4
P55884	P60228
Q9Y262	P55884
Q7L2H7	P55884
Q15545	P50613
O43318	P51617
P07550	Q13617
Q9H6Z9	P07550
Q96FW1	P04637
Q96FW1	P51668
Q13200	Q15011
P42345	P31749
Q99558	Q96JP5
O94905	Q8WU17
O94905	Q86TM6
P04035	P0CG48
P04035	P55072
Q9BVT8	O94905
Q9UKV5	Q8IXI2
Q9UKV5	Q13263
Q96GD4	Q15003
Q16777	Q15003
O95347	Q16777
P42345	P62829
Q6R327	P62829
Q6R327	P62753
P31749	Q13772
P31749	P25685
Q6UXB4	Q13347
P62993	P01019
P62993	P22557
P62993	Q9C0K7
P62993	O75643
P62993	P10909
P62993	P07148
P62993	P02751
P62993	P07305
P62993	P02787
P62993	Q92734
P62993	P49815
P28482	P07339
P28482	P04406
Q16539	Q13243
P27361	Q96SM3
P01111	P30626
P42336	Q13501
P27986	O95450
Q92569	Q06587
P10114	P68104
Q7Z6E9	P47755
Q7Z6E9	P00738
Q7Z6E9	O75925
P42345	P62750
P42345	P61254
Q7Z6E9	Q9NPJ3
P42345	P46777
Q6R327	P62750
Q8IXJ9	P31749
P55040	Q6UXB4
Q8WYR1	P21912
Q92569	P02763
Q92569	O75920
Q92569	P02774
P53779	Q99541
P46934	P11308
Q9UBE8	P07306
P10114	P26885
P10114	P01009
Q92905	P50336
Q92905	P04004
P62993	P06733
P62993	Q14624
P62993	Q9Y587
P62993	Q04900
P62993	Q96NZ9
P31749	Q8TCG2
P60953	P01023
P60953	P02765
P60953	P15169
P60953	Q92496
P60953	P09382
P42336	P02760
P42336	Q9UII2
P42336	P17844
P42336	P02792
P42336	P60866
Q16539	Q03188
Q16539	P68104
Q16539	O95295
P01111	P60866
Q7Z6E9	O75525
Q53GL0	P60866
Q6UXB4	P08865
Q6UXB4	P07306
Q6UXB4	P56537
Q6UXB4	P04278
Q6UXB4	P30613
P51787	O75604
Q16531	Q9NS23
P11021	Q96IZ0
P59768	P84996
P13746	Q9Y385
Q9BZL6	P17181
Q96B97	O60500
O60500	Q9Y5K6
P35240	Q8IX03
O43597	Q96KS0
Q9H6Z9	O43597
P40337	O43597
Q8TEY7	Q9Y6N7
Q969V6	P49841
Q969V6	P84022
Q8N2W9	P21980
Q9H4L4	P04637
Q00987	Q9H4L4
Q13137	Q9NVV4
Q9H171	Q13363
Q9H171	Q9ULE6
Q9H171	Q92618
O14920	Q13451
P51617	Q13049
O43187	Q9BYJ9
O43187	O95817
O43187	Q16543
O43187	O75643
O43187	Q9Y4K3
Q9Y616	P51617
Q9Y616	O43187
P10914	Q13114
P10914	Q9UGP8
P10914	Q8IZ69
P14316	O43299
P14316	Q08209
Q14653	P28749
Q14653	Q08999
Q14653	Q9UHD2
Q15306	Q5JSZ5
Q13568	P62993
Q13568	Q7Z434
O14896	Q6ZN30
Q92985	O00170
Q92985	Q6DN90
Q92985	Q86UE8
Q92985	Q9BVS5
Q02556	P11802
Q02556	Q7L5N1
Q02556	O14896
Q96C10	Q9UPY3
Q96C10	Q9NUL3
Q96C10	P56537
P58753	Q9NWZ3
P58753	P21359
P58753	P10398
P58753	O94822
P58753	O75643
Q7Z434	P46379
Q7Z434	P42224
Q9H6S1	Q14164
Q86UT6	O14735
Q9Y6K5	P56537
Q9Y6K5	Q8IY81
Q9Y6K5	Q969S3
Q96CV9	Q9UHD2
P19525	Q08211
P19525	Q9NUL3
P19525	Q96CT7
P19525	O00458
P19525	Q9Y285
P19525	O60812
P19525	Q9NX58
O95786	Q96S55
Q6SZW1	O14735
Q6SZW1	Q9Y4L1
Q6SZW1	P51617
Q6SZW1	Q6ZNB6
Q6SZW1	P46977
A7MCY6	Q709F0
A7MCY6	O96018
A7MCY6	Q06787
Q86WV6	P33527
Q86WV6	Q4ZIN3
Q86WV6	Q15043
Q86WV6	O95573
Q86WV6	Q96KA5
Q86WV6	Q8TCT9
Q86WV6	O94822
Q15750	Q15014
Q9UHD2	Q7Z3C6
Q9UHD2	P51116
Q9UHD2	Q9NVV4
Q9UHD2	P40222
Q9UHD2	Q9NUQ3
O00206	Q8N1F8
Q9NR96	Q13114
Q9NR96	Q9H1C4
Q9H0E2	Q05048
Q9H0E2	Q9NR28
Q13077	Q9BYM8
Q12933	Q13114
O00463	Q9UP83
Q9NUQ3	P40222
Q9H1C4	O14735
Q9H1C4	P39656
Q9H1C4	Q9Y3E0
Q9H1C4	Q8TCT9
Q9H1C4	Q92604
Q9H1C4	Q96N66
Q9H1C4	O14828
Q9H1C4	Q9H2V7
P67870	Q16539
Q86YT6	Q9UHD2
Q96AX9	Q9UHD2
O14920	P67870
P67870	Q9Y297
P25788	Q8TAF3
P25788	Q92769
P25788	P06733
P25788	P19338
P25788	Q12874
P25788	P52597
P25788	Q8WVV9
P25788	Q92945
P25788	Q15233
P25788	P38646
P25788	P07900
P25788	P31689
P25788	O43707
P25788	P68363
P25788	Q13885
P25788	P13010
P25788	P11021
P25788	P04075
P25788	P54727
P25788	Q15046
P25788	P49368
P25788	P55084
P25788	P14618
P25788	P00338
P25788	P11586
P25788	Q99460
Q13887	Q9GZV5
O75509	P43243
P62714	Q96BV0
P62714	P51805
P30519	Q16891
P30519	Q6IE81
P30519	Q8NHY6
Q9NX76	P61956
Q00535	P46379
O95149	Q6ZN04
Q9UNI6	P55055
P50570	Q99832
P50570	Q9GZT6
P50570	O60383
Q16829	P68104
Q13118	Q15393
P49674	Q12789
P49674	P09467
P49674	P23508
O60238	Q8NBE8
O60238	P32456
Q8IW41	P26373
Q8IW41	Q9UDV7
P60520	Q13685
P60520	Q8WVZ9
P60520	O75143
Q9NPF4	Q86YV9
Q9NPF4	Q5VU43
Q9NPF4	Q7Z699
Q9NPF4	Q99569
Q9NPF4	P04150
Q9NPF4	Q9HB58
Q9NPF4	Q9HBL0
Q9NPF4	P29353
Q9NPF4	O15381
Q9NPF4	O95785
P02743	Q14469
P02743	P00505
Q13387	Q9H869
Q13387	Q9H267
Q13387	Q96JG8
Q13387	Q13432
Q13387	P32456
Q13387	Q14194
Q13387	P52788
Q13387	Q9UBS0
Q9ULV8	O15069
Q9Y6X2	P22314
Q9BUB5	P54252
Q9BUB5	Q9H814
O43809	Q9BWH2
O43809	P26641
O43809	O75530
O43809	Q75N90
O43809	Q9NV58
O43809	Q15652
O43809	P00488
O43809	P32322
O43809	P60896
O43809	Q04724
P49841	Q9BTE0
P49841	P42345
P49841	P19793
P49841	Q9Y600
P49841	O75165
P49841	Q13794
P49841	Q9UNZ2
P49841	P26358
P49841	Q9P1Y5
P49841	Q9H254
P49841	Q96HA7
P49841	P27816
P49841	Q03701
P49841	Q9Y483
P49841	O95377
P49841	P15880
P49841	Q9UJW3
P49841	Q9Y6E2
P49841	Q9UID3
P49841	O75689
P49841	Q9H095
P49841	O60502
P49841	Q96A73
P49841	Q969Q0
P49841	P61960
P49841	P59665
P49841	P07108
P49841	P05452
Q9NRH1	O15068
Q9NRH1	O94927
Q8IZ13	P26641
Q9H9J2	Q8TB96
Q9H9J2	Q9UPT9
Q9H9J2	Q14590
O95257	Q504T8
O95257	O75821
O95257	P29622
O95257	Q8NBN7
O95257	Q9Y383
O14576	Q9BQ89
O14576	P09467
Q6P1J9	O95865
Q6P1J9	P54257
Q6P1J9	Q8NHQ1
Q6P1J9	Q8TB96
P15153	Q9Y4W6
P51955	Q16891
P51955	Q14240
P51955	P23508
P51955	Q9H254
P51955	P10645
O00585	P00505
Q712K3	Q969U6
Q8NC51	Q8TB96
P29322	Q6NUN9
Q7Z6M1	Q9Y2Y6
Q92890	P04637
Q92890	P08138
Q92890	Q8IVF5
Q92890	Q13596
Q9H5J8	Q16891
Q9H5J8	P08238
Q9H5J8	Q12824
Q9H5J8	O60318
Q9H5J8	Q8IXL6
Q9H5J8	P51668
Q9H5J8	Q5T3J3
Q9H5J8	Q8N5V2
Q16644	P55854
Q16644	P01871
P46783	Q92997
P46783	P12956
P46783	Q09013
P61224	P05060
P61224	P01023
P61224	P14618
P61224	Q9BRK5
P61224	Q13432
P61224	P52742
Q92599	Q9UMN6
Q9UI14	Q8TB24
Q13418	P10074
Q13418	P29622
Q13418	Q16560
Q13418	P52736
Q13418	O95201
P20936	Q8NAF0
P20936	P29622
Q8TC12	Q8TC12
Q99962	Q9Y2H0
Q99962	P00488
Q99962	Q9UK33
Q99962	P30793
Q99962	Q6UXF1
Q99962	P04818
Q99962	Q7L190
P27707	P48443
Q9HCP0	Q13422
Q14451	P15880
Q14451	Q9UPQ3
Q14451	P62328
Q14451	P55084
Q14451	Q04724
P45973	Q5T3J3
P45973	P52565
P48736	Q9UDV7
P45985	P45984
P51812	Q9HBU1
O95989	Q8TB96
O95989	Q00765
O95989	Q9UID3
O95989	O94806
O95989	P18621
O95989	P33992
O95989	Q15041
O95989	Q9NQW7
P23276	Q71U36
P45983	Q9P219
Q15418	Q9H814
Q15418	P50991
P07998	P52566
P06132	Q9UGU5
P06132	Q9UNN5
P67870	Q9P287
P67870	P61956
P67870	Q08752
P67870	P32456
P67870	P46379
P67870	P26358
P67870	P51805
P67870	Q15262
P67870	Q13216
P67870	P11926
P67870	Q9UKA1
P67870	P35251
P67870	Q9BVJ6
P67870	P07199
P67870	Q96NT0
P67870	P51693
P67870	P25098
P67870	O14775
P67870	O60502
P67870	Q9Y5U9
P67870	Q8WW35
P67870	O75083
P67870	Q9BV38
P67870	O60551
P67870	P43681
P67870	P16278
Q07817	Q8IV08
Q07817	Q9UKY1
Q07817	Q13625
Q07817	P21246
Q15038	Q8NHQ1
Q15038	P08572
Q15038	P11802
Q15038	Q6P4I2
Q15038	Q9Y3C7
P55957	Q9BZJ0
P55957	Q9Y4G2
P55957	Q14194
P42575	P68104
P42575	P19793
P04406	P68032
P04406	Q13952
P04406	Q99650
Q15118	P12956
Q9BPY3	O60318
Q9BPY3	P29353
Q9BPY3	Q14590
P42677	P56192
Q71F23	P12956
Q71F23	O00264
Q71F23	O15031
P37840	Q5VU43
P37840	O75821
P37840	Q9BRK5
Q9Y6H6	Q12840
Q9Y6H6	P68104
P86397	O95785
P86397	Q06323
P86397	P47756
Q9Y3D7	Q9Y605
Q9Y3D7	O00264
P12956	Q6ZU52
O43639	P48740
P16104	Q96FW1
P16104	P01023
P16104	Q8IVF5
P16104	Q9Y678
Q05513	Q9NQZ8
P10644	Q8TBE0
Q99643	P52565
P49441	P63167
O75582	Q13432
O75582	P63261
O75582	O00151
O75582	Q9NV58
O75582	Q14194
O75582	O43541
O75582	Q12824
P04440	Q9NQC3
P04440	Q9HCK4
O14788	Q9NYL9
O14788	Q8IZ69
O14788	O95248
O14788	Q86WB0
Q9H5I1	P29353
Q15759	P05423
Q15759	Q16539
O43318	O00488
O43318	Q9NV58
O43318	P53041
Q13155	O75398
Q13155	P43243
Q13155	Q9NUP1
Q13155	P30153
Q13155	Q12873
Q13155	O15068
Q13155	P02675
O43597	P21912
O43597	Q8IWV7
O43597	P07858
O43597	P50570
O43597	Q9P283
O43597	P53384
O43597	P04080
O43597	Q14194
O15530	Q9Y2S7
O15530	O95248
O15530	O14543
O15530	P12956
P04183	P35611
P04183	Q12766
P04183	P19793
P04183	Q06323
P04183	Q8TB40
P04183	Q6P0Q8
P04183	P51805
P04183	Q8NBE8
P04183	P46013
P04183	P55854
P04183	Q96EW2
P04183	P13196
P04183	Q7Z4K8
P04183	Q15572
P04183	P01023
P04183	Q75N90
P04183	Q96PQ7
P04183	O15442
P04183	Q13685
P04183	Q9Y5U9
P04183	Q9UPQ3
P04183	O60551
P04183	Q5R3I4
P04183	P05452
P04183	Q9UHY1
P04183	O95741
P04183	Q14141
P04183	Q9Y265
P04183	P04070
P04183	Q96J01
P04183	P68104
P04183	Q15034
P04183	P56537
P04183	Q9NX74
P04183	O15054
P04183	Q5VU43
P04183	Q00013
P04183	P52943
P04183	Q8IV08
P04183	P29074
Q9BVJ7	Q92993
Q9BVJ7	Q9NYL9
Q9BVJ7	P29353
Q9BVJ7	Q6NUN9
Q9BVJ7	Q9UBC3
P49459	Q8IWV7
Q05397	P49321
Q05397	P09467
P61086	O75400
P62324	Q71U36
Q6DKK2	Q7Z699
Q16659	Q96KR7
Q16659	Q9UJ83
Q16659	O15400
Q16659	Q8TAM1
Q16659	P52736
Q16659	Q15811
Q16659	P49795
Q16659	O95551
Q16659	Q99767
Q16659	Q9H4K7
Q16659	O75380
Q16659	Q15435
Q16659	Q13151
Q16659	Q8TAW3
Q16659	Q8TDC0
Q16659	O43175
Q16659	O75475
Q16659	Q9NVX0
Q16659	P27797
Q16659	P50402
Q16659	P49418
Q16659	Q9NWS0
Q16659	P02775
Q16659	P52788
Q16659	Q13636
Q16659	Q96BV0
Q16659	P29353
Q16659	P55290
Q16659	Q9Y448
Q16659	Q71U36
Q16659	O14972
Q16659	Q99797
Q16659	Q99719
Q16659	P60174
Q16659	O43524
Q16659	O60711
Q16659	P41567
Q16659	Q9UH03
Q16659	Q9NUQ9
Q16659	P60842
Q16659	Q9Y4G2
Q16659	P27544
Q16659	P07203
P42229	P62879
Q13642	Q5VU43
Q13642	Q14469
Q13642	O75530
Q9Y297	Q9NS23
Q9Y297	Q9Y2F5
Q9UBS4	Q7Z699
Q9UBS4	Q8IYH5
Q9UBS4	Q15910
Q9UBS4	Q9UNN5
P38936	Q7Z699
P38936	P54252
P38936	P38606
P38936	P05109
P38936	Q96FN4
P38936	P55084
P38936	P46379
P38936	P08670
P38936	Q9H324
P38936	Q13107
P38936	Q9Y3C7
P38936	Q9HB58
P38936	P04217
P38936	Q5GAN4
P38936	O14576
P38936	P68104
P38936	Q75N90
P38936	P51693
P38936	O14775
P38936	Q8WYH8
P38936	P52742
P38936	P02675
P38936	Q09028
Q9UBN7	Q14181
Q9UBN7	P09467
Q9UBN7	O60711
Q9GZQ8	Q12929
Q9GZQ8	Q9NYL9
Q9GZQ8	Q96PQ7
Q9GZQ8	Q9UBC3
Q9GZQ8	Q15059
Q9GZQ8	P10244
Q9GZQ8	Q8N6T3
Q9GZQ8	Q15545
Q9GZQ8	P47736
Q96B97	Q9P2Y4
O95243	Q69YH5
Q92956	P63167
Q92956	Q6P4I2
Q92956	P29622
Q92956	Q16760
P13805	P42356
P13805	Q8WU90
P13805	P29622
P13805	Q9Y2L8
P13805	Q969R2
P13805	Q13595
P13805	P56192
P13805	P54257
Q16543	Q5HYK9
Q16543	P42345
Q16543	Q99873
Q16543	Q06323
Q16543	O95201
Q16543	Q9HCD5
Q16543	Q14590
P53350	O94805
P53350	P19793
P53350	Q9BV68
P53350	Q9UKA1
P53350	P16278
Q8N6T7	Q9UNN5
P16333	P62987
P11802	O95865
P11802	Q8IZ69
P11802	P14618
O75569	Q8NHY6
O75569	Q6NUN9
P55072	Q14194
P15090	P41743
Q9H840	Q71U36
Q9H840	P35611
Q9H840	P29353
Q9H840	P05386
P61077	O95793
Q9UHA4	Q5VU43
Q9UHA4	Q9H324
Q99714	Q9UNN5
P41220	P07858
P41220	Q00765
P41220	Q15942
P41220	P10074
P41220	Q9Y5U9
P41220	Q86VX9
P41220	O94927
