Q86TC9	P35609
P21673	Q04724
Q13228	Q5T3J3
P50453	Q14194
P17028	Q14194
P17028	P68104
Q969H0	P63208
P56159	P39905
O00451	Q99748
P49815	P63104
P04150	Q99816
Q15648	P04150
P10275	Q99816
Q30201	P02786
P02786	Q30201
P13688	P31997
P15976	Q05516
Q99836	P51617
P31483	Q14296
P02511	O75390
P35568	O15524
O43896	P61981
O60674	Q99665
O14818	Q16665
P19174	P12931
Q14186	Q12888
P10721	P21926
Q9NRF2	P22607
Q15306	P42226
P52292	Q08881
P52732	Q14203
P52732	P52732
P27986	P42768
P06241	P42768
P42768	P06241
P23528	P68133
P16234	P04085
P16234	P01127
P02452	P17301
P10589	Q9Y6Q9
P11802	P24385
O15534	P49674
P49674	O15534
Q13976	Q14643
Q14643	Q13976
Q9Y6F6	Q13976
P61586	Q7Z628
O15392	O15392
Q07011	Q07011
Q16656	P63167
P09936	Q96S59
P46108	Q92918
P20929	P28289
Q9NZQ9	P20929
Q8WU20	Q06124
P35869	Q15843
Q13596	P25116
P24385	P21675
P49848	P21675
P22415	P22415
P15407	P05412
P15408	P05412
P60953	Q9UKI2
O95819	P20936
Q16637	Q8TEQ6
Q9UHI6	Q8TEQ6
Q8TEQ6	P62314
Q8TEQ6	P62316
P06241	P36544
O60675	Q16236
P25800	P17542
Q8WV28	P16333
P25791	P17542
P08962	P21926
P60033	P21926
P21926	P05556
P25445	P25445
P16591	Q9UQ16
Q14247	O00401
P42566	P52594
Q9NPH3	P51617
P48745	F8WCM5
Q14919	Q01658
Q8N1F8	Q13485
P40763	Q9NPH3
P42574	Q13114
Q16623	O14810
P24390	Q8N6T3
O14776	P24928
P49763	P15692
P49763	P49763
Q8IZP0	Q12929
Q9Y4H2	P27986
Q9Y4H2	Q06124
Q99627	P61201
Q99627	Q9UNS2
Q99627	Q9BT78
Q99627	Q7L5N1
Q99627	Q9UBW8
P11802	P12004
P05067	Q02410
P05067	O96018
P49810	Q99767
P31749	P12268
Q9UBU7	O00311
P11308	P05412
P55211	O14727
P62166	P35462
P07196	Q16512
P12036	Q16512
Q9Y5Y6	O43278
Q93045	O76081
P21802	P21802
P48729	P26583
P48729	Q96A00
P48729	Q86SS6
P09601	P09601
P20273	P29350
Q13393	P49418
O14939	O00499
P51572	P35580
P51572	P63261
P35968	P33151
P29353	P33151
P35568	Q92569
P01031	P10643
Q13435	O75533
O75533	Q13435
Q13435	Q15393
O75533	Q15393
Q9Y698	P42262
Q14831	Q9NRD5
P68104	P19174
P14784	P51692
P14784	P42229
Q7Z3B4	P52294
P42771	Q66K89
P52655	P20226
P17677	Q15276
Q86YS3	Q7L804
P53618	P84077
P27361	P15056
Q9Y566	Q9UQB8
Q9UQB8	P60953
P25815	Q8WXG8
O14920	Q9Y297
P19838	Q9Y297
P33240	Q92797
P33240	Q12996
Q6KF10	P36894
Q13017	P49023
Q13418	Q13418
Q04724	O14607
P05556	Q13418
P07333	P09603
P16234	Q9NRA1
P35606	P53621
P53621	O14579
P27540	P35869
Q03405	Q12884
O14543	P16471
Q06413	P08047
P04150	O75376
O43747	P84077
P59780	P84077
O00203	P84085
P52298	P31943
Q16342	O75376
P53621	P53618
P35606	Q9Y678
P84077	P53618
P51654	P09038
P03372	P03372
P04198	P61244
P05412	Q92905
P17535	Q92905
Q16787	P34741
P51692	O60674
Q12913	P35222
P46937	Q13625
P46937	Q12840
P01042	P03951
O00268	P45973
P50591	P50591
P05412	Q00403
P05412	P20226
Q9NRA8	P06730
P53779	P32121
P53779	P49407
P62993	Q07666
P60903	P07858
P12318	P27986
P15498	P19174
P15498	P27986
P27986	P15498
P27986	Q13480
Q13190	P56962
P19878	P14598
P14598	Q15080
P08138	Q9H213
Q9UEW8	P02686
Q15464	P23458
P05156	P01024
Q9Y3B4	O75533
P42261	P42262
P13010	P15498
P29350	Q14289
P43405	Q14289
P48764	Q15599
P15311	Q15599
Q99836	P07998
Q9NPH3	P07998
P07948	P27815
P49023	Q05397
Q96QH2	Q13094
Q96QH2	O75563
Q96QH2	P07948
P06213	O14543
Q8WZ42	Q14896
Q15796	P05412
P29353	O15357
P06241	P78352
P13591	P11362
P49137	P31749
P49137	P04792
Q92835	P20273
P62993	P20273
P20273	Q92835
P20273	P29353
P17655	P55957
O15146	Q8NF91
Q8NF91	O15146
Q8IWL2	P35247
Q8IWL2	Q9UGM3
Q99683	O75340
P24394	P29353
O95999	Q15628
Q14161	P25098
Q9Y2X7	P25098
O15259	P21333
P42768	P62993
P12643	P02458
P10747	O75791
O75791	Q07666
P05109	P05109
P14868	P68104
Q9Y6Y9	O00206
P98164	Q9UQF2
P98164	Q9UM13
P98164	O75553
P98164	O14713
P98164	O14908
Q07954	O14908
Q07954	P78352
Q07954	O75052
Q07954	O14713
P01130	O75553
Q14114	Q13387
Q9UQF2	P98164
P78352	Q07954
Q9UQF2	Q07954
P57105	Q07954
O75553	Q07954
Q12967	O14807
P27986	P35568
P62136	P19525
Q13177	P60953
P02776	P02776
P05106	P06756
Q05707	P16070
P19174	Q07666
P24385	P06400
Q09161	P52298
P06400	P21675
P51841	P51841
Q13546	P78560
P30291	P31946
P02743	P02743
P17302	P17302
Q13217	Q9NZJ5
P06870	P29622
P10599	P04150
P78536	P28482
P78396	Q02539
P01116	P04049
P30533	P04049
P30533	Q12967
P13647	P05783
P17947	P05412
P07359	P04275
P25098	P08100
P67775	P24941
P67775	Q00534
P67809	P49711
Q13105	Q92547
Q00987	P20226
P51636	Q03135
Q14289	P06241
P54274	O95271
Q9H4M9	Q00610
Q9H4M9	O95721
Q9NZN3	O95721
O95721	O95721
P30260	P53041
O75369	P49810
Q9UQ80	P06400
Q99584	P21579
Q99584	P05230
O14745	P13569
O43924	Q15382
P62495	P67775
Q15695	O15397
P62750	Q92973
P14784	Q9NSE2
Q9NSE2	P14784
O60763	Q96IW7
O95249	O15155
Q13190	Q9UEU0
Q9UH92	Q14582
P42680	P16471
Q13705	P36896
P49790	P62826
P49790	Q14974
P78527	P12956
P78527	P27694
Q9NY12	Q16637
Q9NY12	Q9UHI6
Q14289	Q14289
Q14289	P52333
P56945	O15259
P32519	P19838
P32519	Q04864
Q92904	Q9NQZ3
Q92904	Q92904
P21554	P04899
P48050	Q15700
Q13224	Q15700
Q13224	Q12959
P22459	Q15700
O75015	P01857
Q14680	P30305
P02774	O60494
P01133	P00533
P01133	P21860
P04629	P42679
Q8WV28	Q96B97
Q96B97	P22681
P46108	Q96B97
Q07889	Q96B97
P18075	P18075
P24928	P62875
P24928	P62487
P30876	P19387
P19387	P30876
P19387	P19387
P19387	P62487
P19387	P52434
P19387	P62875
P19388	P24928
P19388	P19387
P61218	P19387
P52434	P52434
P06241	Q13322
P16333	Q07889
Q9UPT6	Q05397
O95711	Q99467
P04233	P04233
Q13352	P10827
Q04206	P67775
P08575	P06239
Q02535	P15884
Q12906	Q12905
Q9HAU4	O15105
P98177	O14980
Q07954	P01023
Q92934	P62258
Q92934	P31946
Q92934	Q04917
Q92934	P60903
P18146	Q15742
Q13393	P37840
Q07955	Q01081
Q07955	Q07955
Q07955	P08621
Q8NER1	Q8NER1
P20337	P31150
Q92804	Q15545
Q92804	P19387
P29590	P06730
P0DMV8	P21757
P61073	O60674
P51617	Q05513
Q93045	P49758
P16671	P01130
P11047	P14543
P02452	P14543
Q96EY1	O60674
P11142	Q96EY1
Q06187	Q03135
Q15131	P15036
P00533	P15514
P27986	P42336
O75381	P50542
P28328	O60683
P43034	P43034
Q14203	P43034
P60953	P15498
P14859	P03372
P14859	P19793
P14859	P10827
Q13077	P12931
Q13114	P12931
Q9Y4K3	P12931
Q02750	P27361
Q16819	P01303
Q16819	P30990
Q16819	P01148
Q16819	P01282
Q14315	P45985
P11021	Q9H173
P25490	P36956
Q07960	Q07960
P20645	Q9UJY4
P49792	Q14974
P43487	Q14974
P49792	P52294
Q12959	P11171
Q15797	P55316
P11226	P27797
P29323	P24666
P02786	O95166
O95166	P02786
O15519	Q13158
Q12933	O15519
Q04771	P43026
Q13651	P23458
P36507	P28482
P02760	P02760
Q31612	P01732
P10321	P01732
P17693	P01732
Q9UJU6	Q92918
P02766	P98160
P98160	P02766
O43426	Q99962
Q99962	Q05193
Q99962	O43426
Q05193	Q99962
P49418	Q05193
P49418	O43426
P06239	P16070
P60033	P15529
P27701	P15529
P15529	P05556
P17301	P15529
Q92736	Q15413
Q15413	Q92736
P21817	Q92736
P23921	P23921
Q13424	P46939
Q13425	P11532
O60885	P35251
P35251	O60885
O60885	P35249
O60885	P40937
P35251	P12004
P22681	O00459
P24864	Q9UII4
Q9UII4	P20248
Q9UII4	P24385
O60542	Q9GZZ7
P08922	P29350
Q14161	Q9Y6V0
Q9Y2X7	Q9Y2X7
Q14161	Q9Y2X7
P05230	P11362
P11362	P11362
Q9UHD4	O00273
P16220	Q5TD97
P16220	Q14192
P16220	Q13643
Q14192	Q14192
Q13643	P16220
P09874	P07199
P00519	P29353
P62993	P11274
Q07889	P00519
Q9UI95	Q13443
Q13077	Q99683
Q9Y4K3	Q99683
Q9ULZ3	O15553
Q9NPP4	O95999
Q02779	P60953
O14939	Q15121
Q02779	Q92845
Q16584	Q9P2E2
Q16584	O15066
Q9Y496	Q02779
O60762	Q9P2X0
P02452	P09486
P20908	P09486
P05107	P05362
Q9UKT9	Q9H2S9
P53041	Q03113
P53041	Q14344
Q9H5V7	Q13422
P62993	P19438
Q01344	Q13432
Q13432	P08631
O60566	Q12834
P36897	P17813
O14613	Q14141
Q9UKI2	Q14141
Q9Y253	P12004
P23458	P42680
P29279	P15692
P15692	P29279
P49768	Q99569
Q03135	P25098
Q13153	P04626
P84022	P12757
P12757	P84022
O75175	O75155
P19793	P15172
P42229	Q92731
Q13873	P12644
P05090	P05090
Q13790	P02647
O60674	Q05209
O94829	P46777
O94829	P47813
P20226	P52655
Q9NP84	Q12933
Q04206	P46531
Q9Y210	Q9Y210
P48995	Q9UBN4
P48995	P48995
Q9UBN4	Q9UL62
Q13164	O00141
P78352	O14964
Q13239	P43403
Q13239	P43405
Q13239	O43561
P22681	Q13239
P62937	Q08209
O95271	Q9C0C2
Q9C0C2	O95271
Q9H251	Q9Y6N9
P10147	P51681
P63241	O14980
P01106	Q13009
Q99418	P84077
Q15545	P21675
P07359	P00748
P41143	P41143
P60880	P33176
O14576	P51808
P06241	P78314
P78314	P22681
P78314	P19174
P35638	P01100
Q8IXK2	P98088
O60220	Q9Y5L4
P05556	O75369
P05556	P21333
P25942	Q13114
P25942	Q9Y4K3
P25942	Q12933
P08069	Q9NZN5
Q9P2A4	Q13177
Q9Y297	Q15653
P12956	P04053
O00628	P50542
P48549	P48544
O15524	P36888
O14786	P49763
P00519	O15350
O95835	P06493
P62993	P18433
P06396	P68133
P10145	P10145
Q08881	P62937
P62937	Q08881
P35222	Q14192
O75444	P48436
Q14721	O95259
P48547	Q8TAE7
Q9H3M0	Q8TAE7
Q9H3M0	O95259
P62195	P08047
O60674	P32927
P32927	O60674
P28482	P04049
P49916	P18887
O75340	P25445
P01583	O00165
Q16270	Q9Y3E7
Q9Y3E7	Q16270
P09382	P57678
P57678	P17931
O60506	P41238
Q9UHC1	P40692
P54278	P40692
P54277	P40692
Q14289	P49023
P62993	P29317
O00299	Q99996
P15311	Q05397
P46100	Q06609
Q96FJ2	Q9Y4I1
P63167	O14490
Q96FJ2	P78352
P63167	P78352
O14490	Q9UPX8
O14490	P78352
P63167	Q15700
Q96FJ2	Q15700
Q9UPX8	Q9Y4I1
P60953	Q9NRR8
P07998	Q9NRR8
O43424	P29074
P29074	Q12879
Q04759	P17542
P84077	P53367
P84085	P53365
P84085	P53367
P05107	P20701
Q15796	P98082
P98082	P36897
O43823	P13861
O00141	Q15599
O00141	O15530
Q9NRD5	P04626
Q9UIB8	Q9UIB8
Q92945	Q9UKA9
Q15788	Q15562
O60869	O00482
O60869	Q13133
O60869	P19793
P42680	P10721
P42680	Q99704
P07948	Q99704
Q99704	P46109
Q99704	P08631
Q99704	P27986
Q99704	P07947
P10721	P19174
Q86UR5	P20336
Q9UKS7	Q9UKT9
Q07866	P33176
Q9H0B6	P33176
P26441	P08887
Q06124	P42229
Q06124	P51692
P17480	P20226
P04637	Q92994
P00749	P05154
P06241	Q9ULV8
Q9UIQ6	Q9H2K2
Q14980	O95271
P32004	P15311
P07998	Q92608
Q12834	O14965
Q9UKX7	P52292
Q14974	Q9UKX7
P62826	Q8TD19
Q8TD19	P62826
P30101	P04921
P30101	P11166
P30304	P24864
P14210	P34741
Q9HD36	Q9HD36
Q9HD36	Q07812
P03372	P10589
P28069	P04150
P08670	P63104
O95571	Q04206
P42858	Q02779
Q02779	P42858
P19438	P01374
Q06187	Q15139
Q15139	Q06187
P78347	P01106
P01106	P78347
Q14451	P10721
P36897	P49354
P06241	O00459
O43747	Q9UMZ2
P27986	P19235
O60674	P15498
P17947	P35637
P04049	Q07817
Q02750	P04049
Q02750	P30086
P28482	P30086
P84022	P05412
P17900	P06865
P27540	Q14190
P06400	Q9NY61
Q14103	Q15424
P34932	P15559
P45983	Q15139
Q15139	P05412
Q9NZ52	P84077
Q9UJY5	Q00610
Q9NZ52	Q00610
Q92499	P61978
O60674	P78324
Q9P021	Q12959
P37088	P46934
P62942	P21817
P62942	Q15413
Q9NS91	P63146
P21980	P06400
O75439	Q16595
P04150	P14859
Q99990	P28347
Q99990	Q15561
Q13563	P19429
P19429	Q13563
P08253	P35625
Q12923	P25963
Q9UK23	O95782
P19878	P07998
P61163	Q14980
P24387	P55089
P40855	Q9UBJ2
Q07954	P01127
Q07954	P29353
P09884	P06400
Q9HBM0	P35222
Q13402	P35222
Q9HBM0	P12830
P51679	P25098
Q9NQC3	Q07817
P10415	Q9NQC3
P10721	P42224
P35250	P35249
P12004	P35249
Q15466	P48443
Q9Y4K3	Q13501
Q13501	P51617
Q9UGU0	P78317
Q15366	P26599
Q15366	P61978
P61978	Q15366
Q13061	P21817
P01574	P01574
P22681	P29350
P27695	Q16665
P78352	Q92796
Q9Y679	P06756
Q9Y679	P11215
Q12778	P63104
P06213	Q07666
P20936	Q07666
Q53T94	P20226
Q15573	Q53T94
P13861	Q06455
P03372	Q00987
P08253	P01137
P0DMV8	Q00613
P57054	Q9BRB3
Q9Y2U5	Q13163
Q13163	Q99759
P01344	P17936
P40424	P09629
P50613	P03372
P78527	Q13901
Q13901	P78527
P03372	Q15596
Q9NQ94	Q92945
Q92974	P07998
O75962	P07998
O14733	Q9UQF2
P45984	Q13387
Q13387	P45984
Q13387	O14733
Q9UQF2	Q9UQF2
Q13387	Q9UQF2
P98082	P01130
P98082	P51693
P98082	Q06481
P98082	Q92835
P98082	Q07954
P15336	P45983
P17707	P17707
P28067	P04229
Q9P0L0	P63027
P56645	O15055
O15534	P56645
P15151	P63172
O75446	Q9UK53
Q9UK53	O96019
Q96ST3	Q16576
P51532	Q9UK53
P23458	P14784
P08581	Q96S59
P98161	P02751
P98161	P02452
Q9HD89	Q9HD89
P52198	Q5T124
P61587	Q5T124
Q5T124	P52198
P20336	Q9Y2J0
P55317	Q9UBC0
P06239	P22681
P32121	Q00987
P31689	P11142
P78352	Q15303
Q15303	P04626
P80098	P80098
O14713	O00522
P11802	P30279
P11802	P30281
Q00534	P30279
P46527	Q00534
P46527	P30281
Q05397	O43294
Q05397	P49023
Q99638	P00519
Q13526	P30307
P53350	Q13526
P30307	Q13526
P30260	Q13257
P30260	Q12834
P04637	P19525
Q13490	P55211
Q13489	P55211
Q9H254	Q12955
Q53EL6	P46777
Q53EL6	P62277
P62277	Q53EL6
P46777	Q53EL6
Q99988	Q99988
Q9UER7	P14672
P84022	Q14974
O43318	O15111
Q96G27	Q9H0M0
Q969T9	Q9H0M0
P19174	P20936
P19174	P78314
P15498	P78314
P04004	P05121
P04275	P02452
P07355	P00750
P17181	P52630
P06400	P15336
P35462	Q9H4G0
P14416	P21333
P14859	P51948
P53805	Q08209
O60674	P62993
P62993	O60674
P08246	P08697
Q02535	P15923
P62993	P62993
P07900	P15172
P31948	Q0VDF9
O15344	O15344
Q9UJV3	Q9UJV3
O75382	O75382
Q9C035	Q9C035
Q9C026	Q9C026
P19474	P19474
Q12899	Q12899
Q13049	Q13049
O15344	Q9UJV3
Q9UJV3	O15344
P36406	Q14134
P36406	Q9BZY9
Q14134	P14373
Q13049	Q9UJV3
Q9C030	P36406
Q13263	P36406
P61244	O60271
P61244	Q05195
O60271	P61244
O60271	P45985
Q92934	Q16548
Q8WUP2	O75369
Q9NR28	P36941
Q14289	P07948
P02652	P55058
P02647	P55058
Q05397	P51681
Q13501	P41743
Q15700	P78352
Q15276	Q15276
P20338	P20339
P00488	P00488
Q13191	P27986
O15519	O15519
P05412	P52272
P05412	Q9NR30
P43487	P62826
P04637	Q06609
Q03431	P12272
Q13285	Q15788
Q13573	P28749
P42224	P33992
P25054	Q8IUQ4
Q99615	O60671
Q9GZZ8	P04004
P11532	Q14118
Q07817	Q14457
Q15464	O43561
P00747	P17936
P04003	P02743
O60566	Q13257
P17542	P15884
P16671	P07948
P16671	P07947
P30048	O43283
P08473	P07948
Q9NRD5	P42263
Q9Y3R0	P48058
P42262	Q9NRD5
P42262	Q9Y3R0
P42262	O00560
P42263	Q9Y3R0
Q14832	O00560
P01106	Q99471
P17980	P62195
Q13322	P35568
Q13576	P60953
P20936	P16333
P17302	P36382
Q15118	Q12967
Q92599	Q99719
P60763	Q99828
P17342	P01160
P29353	Q99062
O75791	Q92918
P42229	P00533
Q14209	P50876
Q14209	Q14192
O00716	Q8N488
O00716	P50876
Q16254	Q8N488
Q12846	P63027
P04637	P09429
P09429	P04637
P07992	P23025
P49023	Q05209
P08138	Q03135
Q01892	Q01892
O60563	O43719
P98170	Q15750
Q9ULV0	Q7L804
P04271	P31949
P04271	P23297
Q14451	Q92730
P09237	Q99075
P09237	P16070
P30041	P19878
P30518	P32121
Q86VQ3	Q86VQ3
P43487	O14980
P61201	P51843
P55212	Q13077
P05412	P45983
P54274	P54274
P06400	Q8IVW6
Q99959	P15924
Q99959	P14923
Q99959	Q14126
P07948	Q14511
P62993	P42858
P42858	P20936
P78352	O14490
P78352	O95886
P23458	P40189
Q14449	Q05513
Q9UDT6	O75122
O00268	Q92830
O75486	Q12962
P51451	Q07817
P04049	P01111
Q9Y4K3	P51617
Q9Y4K3	O43187
Q9Y4K3	Q9Y616
P27105	P11166
O60603	Q9Y6Y9
Q13535	Q8WXE1
P17542	Q9BWW4
P17542	O43439
P17542	Q13547
P17542	O95696
P15923	P17542
Q86U70	P17542
Q86U70	P15923
Q86U70	O75081
P63167	Q96LC9
Q13153	P63167
P35568	P27986
P22626	P14866
P06241	P16885
P06400	P15172
P06401	O95071
Q01826	P52435
O60318	P25205
Q15942	O95835
P35240	P35240
P47874	Q9HBH7
Q05195	P61244
Q12846	P20339
Q59EK9	P10114
P07996	P24593
P10451	P24593
Q16637	Q96AE4
P49770	Q13144
P54274	Q13315
Q13315	P54274
P00519	P54274
P49639	P55347
Q12906	P19525
Q06124	O60674
O60674	Q06124
P15927	P13051
P26367	Q9Y2V3
P26367	Q05925
P61158	O15143
P61158	O15144
Q07157	O95049
P63096	O95622
Q13352	Q04206
Q9UIV1	P06493
Q16589	Q15173
P01106	P05549
P31269	P40426
Q03060	O00268
O60353	Q8N474
P19174	P61586
P41235	P04637
Q16637	P62314
Q16637	Q16637
P15813	P27797
P19438	Q15628
P22415	Q15853
P00918	P19634
P51572	Q14790
P51572	Q07817
Q14790	P51572
P11142	P62136
Q13489	O43353
P02647	O95477
Q13555	P55042
Q96B01	Q06609
Q09472	Q13105
Q99683	Q99683
Q99683	P30304
P61586	Q9NR81
Q9GZQ4	P48645
P25025	P49407
O60331	Q9Y4G6
Q14126	P14923
P15311	P27986
Q16512	P12814
P12814	Q16512
P16112	P98095
P13611	P98095
P56279	P31751
P56279	Q9Y243
P09486	P15692
P35222	P37173
P84022	P35222
Q13239	P15498
Q99608	P04637
Q96JC9	P55199
P62993	Q13424
Q14315	Q9NP98
P22681	P07333
P07333	P22681
Q00403	Q04864
P27449	Q96G23
P37231	Q15466
Q14573	Q9UL62
Q14573	Q9HCX4
P17252	P17302
P16333	Q16513
P61586	Q16513
P11021	Q6UXS9
P00519	P08631
Q12974	P53611
O75530	P26010
P62258	Q99759
P62258	Q13233
P62258	Q9Y2U5
P52294	P15918
P32298	P23945
P43250	P23945
P17676	P04150
Q06609	P51587
Q99576	P01100
Q99576	P05412
Q99576	Q99576
P24394	Q92835
P24394	Q06124
P21333	P13726
P35626	P61073
P40424	O00470
O00470	P28356
O14920	P35568
Q7Z4N2	Q7Z4N2
Q99741	P01106
P13236	P10147
Q15796	P12757
P21583	P21583
O14832	Q9UIM3
P24385	P03372
P03372	P24385
Q9UKB1	Q13616
Q9Y297	Q13616
Q9UKB1	Q9Y297
Q9Y297	Q9UKB1
Q9UKB1	P25963
Q9Y297	P25963
O95319	Q9NQ94
P23471	P35222
P21246	P35222
P20783	Q16620
P78509	P78509
P01112	O00329
P48039	P29992
Q15797	Q13950
O60674	P51692
P52333	P51692
P08133	P23297
Q06787	P51114
Q06787	P51116
P51114	P51116
P63279	Q9UBC3
Q13402	Q14145
Q16623	P54920
O95630	O43541
O95630	O15105
O75815	P56945
Q04206	Q99767
P16035	P08253
Q13643	P57682
O14920	O15111
P08253	P20742
Q13349	P32942
Q13112	Q13111
Q02763	Q15389
P10911	P10911
P17813	Q04771
P17813	P18075
P17813	P12643
Q9UH73	Q9UH73
O76070	P28482
P50395	P62491
P50395	P51151
P50395	P20338
P50395	P61019
P04637	Q9H4B4
P12004	P12004
P00519	Q99704
P42858	P04637
O15145	P62701
O15145	P42768
P08670	Q969R2
Q06413	P28347
P63279	Q9UI36
P01023	P04180
P49023	P13612
P27986	P10747
Q01844	Q15637
O60671	Q99638
P13645	P31749
P30260	Q9UM11
O60260	O14936
P31371	P31371
P12931	P98172
P27658	P25067
Q03405	P00749
Q12851	Q13233
Q12851	P45985
Q9UQF2	Q9BY84
O43561	Q08881
Q05655	P61981
Q9NS28	P50148
Q9NS28	P04899
Q9NS28	P63096
Q13501	P04629
P22001	P22459
Q09470	P16389
P16389	Q13303
P29083	Q7KZF4
P31749	P04049
P04049	P31749
P67775	Q9Y5P8
P67775	Q06190
Q13618	P24864
P43405	O43561
O43561	P62993
O43561	Q8N0X4
O43561	P15498
Q9Y371	Q96B97
Q9NR46	Q96B97
Q96B97	Q99963
P22681	Q99963
P03372	P40763
P51149	Q96NA2
P17947	Q15233
P63151	P67775
P17936	O43184
O00329	P27986
O00329	P48736
P78352	P06241
P55072	P38398
P04792	P99999
P11831	P23511
P46531	Q9Y219
Q9UM47	P78504
P04049	P50150
P62879	P04049
Q8WZ19	P12004
Q9BXP8	P17936
P40189	O14543
P25025	P10145
P26640	P29692
P26640	P24534
P19838	Q15788
P60228	Q14152
Q9Y262	Q14152
P42574	P55957
P05067	Q9BXS0
Q16819	O15230
O00401	P16333
P16333	O00401
P48051	Q12959
P41743	Q96Q15
Q01094	P20248
P61764	P61266
Q16623	P23763
O60496	Q02763
P16333	P10301
Q8NFZ4	Q15700
Q12879	Q92796
P01375	P21810
P40692	O15457
O15457	P40692
P20337	P01833
O14490	Q12959
O14490	P35222
Q9BW11	P61244
Q9P021	P78352
Q9NS37	P51610
Q06455	Q06455
Q06455	O75376
Q07890	P29353
O15169	P49674
P10276	O75528
P51787	Q9Y6J6
Q14116	O95998
P24941	P04637
P20248	P04637
O14727	P07900
Q99967	Q09472
Q99967	P20226
O14817	P26006
P21926	O14817
P26006	O14817
P05556	O14817
Q13315	P50542
P00918	P10809
P21860	P27986
Q13825	Q13825
P54274	Q9NSC2
P42702	P40189
P28360	P50458
Q9H0H5	Q96RN1
P84022	P19532
Q13485	P61244
Q13077	Q92844
Q12933	Q92844
Q13114	Q92844
O14713	Q92844
Q00613	P20226
P08579	P09661
P06239	P10721
Q13546	Q9NWF9
Q9NWF9	Q13546
Q07021	Q15139
P27348	Q15139
Q07021	Q05655
P52797	Q15375
Q13285	P35222
P30304	P00533
P00533	P30304
O43390	Q16637
O60725	P61586
P29353	P31785
P06850	Q13324
P42574	Q86W56
P36897	P01137
P35568	P08069
Q02446	Q02447
Q9Y2W7	P49810
Q06124	Q9UQC2
Q9UQC2	Q06124
O15315	O43502
P28482	Q9UHA4
O43719	P24928
O00267	P24928
P23588	P11940
Q96S55	Q14191
Q14012	Q96RR4
P17612	Q96RR4
Q13948	P50613
Q13948	P78396
Q07869	P48552
P37231	P48552
P28702	P48552
P00439	P09417
P00439	P61457
Q15466	P03372
O00308	P51168
P46934	P51168
Q9H8Y8	Q9Y3Q3
Q9BQQ3	Q9Y3Q3
Q8WTR2	O14733
Q99683	Q8WTR2
Q13547	P24468
Q96T58	Q9HD15
Q07011	Q13077
P51813	Q05397
P02679	P02675
P50750	P49427
P35638	P18847
Q92956	Q12933
P15498	Q9H0H5
Q01094	Q02446
Q01094	Q02447
P15036	P05412
P51812	O15530
P04150	Q00839
Q00839	P04150
Q02156	Q14344
Q05655	Q14344
P04745	O43823
O43823	P04745
P54274	P15531
O15111	Q16543
P04054	P14555
P27361	P07948
O00220	Q14790
O14763	Q14790
P00519	Q00987
P62877	Q13617
P62877	Q15843
P62877	P11142
P62877	Q8NEZ5
P62877	P63261
P62877	P0DMV8
Q13619	P68363
Q14999	P62877
P48167	Q9NQX3
P78352	Q13002
Q16478	P78352
Q16394	Q93063
Q86YW5	P29350
Q9UH65	P19338
Q07666	P27986
O15144	P59998
Q9BUB5	P28482
Q14289	Q9BZ72
Q9BZ71	Q14289
Q9ULX9	Q16656
O60674	P29350
P07900	P40763
P11831	P35269
P40238	Q8WWM7
Q96BS2	P19634
P05412	Q16665
Q9Y5S9	Q9H1J1
Q07666	P40763
P05154	P03952
O75843	Q9UMZ2
P29083	P13984
P29083	P35269
P29083	P21675
P29083	P19447
P60880	O95249
P60880	Q13190
P62136	Q14684
P62136	P51610
P21453	P08908
P01106	P35269
P19235	P07948
P13631	O75376
P10276	O75376
P61586	P52565
P20340	Q96G01
P51959	Q00987
Q13114	O95551
Q712K3	Q9Y297
Q9Y6K9	Q99558
P43489	O00463
P08631	O75563
Q14511	Q05209
Q13156	P27694
O95631	P43146
Q14192	P10275
P09234	Q01844
P21580	Q12933
O43683	P78406
Q9UHB7	O60563
P06729	O95400
P35609	Q13224
P15502	P21810
P55001	P21810
Q07812	Q9Y371
Q15796	Q9HAU4
P23769	Q9Y2Y4
P63165	Q9UER7
P08709	P13726
Q16143	P37840
P43699	Q9H2X6
P29350	P19235
Q13200	P62191
P62191	Q16401
P60033	P05556
P20749	P52655
P20749	Q00403
P06241	P06493
Q14191	P13010
Q14191	P12956
O00161	O75558
Q8WV28	P11912
Q8N196	Q99504
O00167	Q9UIU6
P21741	Q14112
Q04206	Q9Y297
P22681	Q8WU20
P63279	Q9BYV6
Q9Y692	Q969Q1
Q15466	O00482
P26038	P14598
P12931	P04626
P42345	P00519
Q92574	P68133
P84022	P31749
Q13485	P31749
Q92574	P31749
P49815	P31749
P31749	Q92934
Q15418	Q92934
O75582	Q92934
P49815	Q03135
P55884	P60842
P55884	P23588
P55884	P06730
P42345	Q13541
P55884	Q04637
P08069	P03372
Q14643	P62942
P00519	P42345
P30533	P42345
Q15382	P42345
P30622	P42345
Q99613	P42345
Q9NQX3	P42345
Q9BPZ7	P42345
P31749	P07900
P00533	P08069
P49815	P19021
P35568	P42336
P42345	O14939
Q92574	P53350
Q8TF40	Q13131
Q8TF40	Q9Y478
P42224	Q05655
P49815	Q05397
Q15382	P04049
Q15382	P62834
P42345	Q15382
P49815	Q15382
P42345	P23443
Q15118	P23443
P43405	P23443
Q13057	P23443
P12931	Q9UBS0
P42345	P30622
P42345	P42224
P23443	O14746
